#options: 1280x720 fps=30/1 timebase=1/30 bitdepth=8 cabac=1 ref=1 deblock=1:0:0 analyse=0x1:0 me=dia subme=2 psy=1 psy_rd=1.00:0.00 mixed_ref=0 me_range=16 chroma_me=1 trellis=0 8x8dct=0 cqm=0 deadzone=21,11 fast_pskip=1 chroma_qp_offset=0 threads=18 lookahead_threads=5 sliced_threads=0 nr=0 decimate=1 interlaced=0 bluray_compat=0 constrained_intra=0 bframes=3 b_pyramid=2 b_adapt=1 b_bias=0 direct=1 weightb=1 open_gop=0 weightp=2 keyint=250 keyint_min=25 scenecut=40 intra_refresh=0 rc_lookahead=40 rc=abr mbtree=1 bitrate=2295 ratetol=1.0 qcomp=0.60 qpmin=0 qpmax=69 qpstep=4 ip_ratio=1.40 aq=1:1.00
in:34 out:34 type:B dur:2 cpbdur:2 q:17.98 aq:12.32 tex:30762 mv:7174 misc:1352 imb:4 pmb:894 smb:2702 d:- ref:0 ;
in:33 out:35 type:b dur:2 cpbdur:2 q:18.37 aq:14.26 tex:12344 mv:3831 misc:1633 imb:1 pmb:587 smb:3012 d:- ref:0 ;
in:35 out:36 type:b dur:2 cpbdur:2 q:17.59 aq:13.29 tex:14332 mv:4444 misc:1544 imb:1 pmb:654 smb:2945 d:- ref:0 ;
in:40 out:37 type:P dur:2 cpbdur:2 q:16.28 aq:6.31 tex:345613 mv:6551 misc:636 imb:51 pmb:1159 smb:2390 d:- ref:0 ;
in:38 out:38 type:B dur:2 cpbdur:2 q:16.74 aq:11.13 tex:43147 mv:7666 misc:1259 imb:6 pmb:942 smb:2652 d:- ref:0 ;
in:37 out:39 type:b dur:2 cpbdur:2 q:16.97 aq:12.40 tex:18750 mv:4623 misc:1491 imb:4 pmb:651 smb:2945 d:- ref:0 ;
in:39 out:40 type:b dur:2 cpbdur:2 q:16.51 aq:12.49 tex:20138 mv:4748 misc:1522 imb:1 pmb:693 smb:2906 d:- ref:0 ;
in:44 out:41 type:P dur:2 cpbdur:2 q:16.11 aq:5.96 tex:326792 mv:6367 misc:673 imb:49 pmb:1149 smb:2402 d:- ref:0 ;
in:42 out:42 type:B dur:2 cpbdur:2 q:16.20 aq:10.57 tex:46020 mv:7557 misc:1175 imb:4 pmb:978 smb:2618 d:- ref:0 ;
in:41 out:43 type:b dur:2 cpbdur:2 q:16.24 aq:12.75 tex:23064 mv:4635 misc:1509 imb:2 pmb:674 smb:2924 d:- ref:0 ;
in:43 out:44 type:b dur:2 cpbdur:2 q:16.15 aq:12.21 tex:20389 mv:4232 misc:1515 imb:0 pmb:653 smb:2947 d:- ref:0 ;
in:48 out:45 type:P dur:2 cpbdur:2 q:16.76 aq:7.33 tex:289799 mv:6530 misc:671 imb:50 pmb:1137 smb:2413 d:- ref:0 ;
in:46 out:46 type:B dur:2 cpbdur:2 q:16.43 aq:10.37 tex:47130 mv:7417 misc:1189 imb:7 pmb:962 smb:2631 d:- ref:0 ;
in:45 out:47 type:b dur:2 cpbdur:2 q:16.27 aq:11.71 tex:23096 mv:4608 misc:1568 imb:3 pmb:664 smb:2933 d:- ref:0 ;
in:47 out:48 type:b dur:2 cpbdur:2 q:16.60 aq:12.06 tex:19715 mv:4790 misc:1503 imb:4 pmb:696 smb:2900 d:- ref:0 ;
in:52 out:49 type:P dur:2 cpbdur:2 q:17.46 aq:8.18 tex:286852 mv:6625 misc:603 imb:52 pmb:1150 smb:2398 d:- ref:0 ;
in:50 out:50 type:B dur:2 cpbdur:2 q:17.11 aq:11.65 tex:38949 mv:7532 misc:1271 imb:5 pmb:927 smb:2668 d:- ref:0 ;
in:49 out:51 type:b dur:2 cpbdur:2 q:16.93 aq:12.79 tex:20786 mv:4591 misc:1503 imb:1 pmb:674 smb:2925 d:- ref:0 ;
in:51 out:52 type:b dur:2 cpbdur:2 q:17.29 aq:13.06 tex:14579 mv:4335 misc:1598 imb:3 pmb:633 smb:2964 d:- ref:0 ;
in:56 out:53 type:P dur:2 cpbdur:2 q:18.03 aq:8.70 tex:269863 mv:6516 misc:605 imb:70 pmb:1126 smb:2404 d:- ref:0 ;
in:54 out:54 type:B dur:2 cpbdur:2 q:17.75 aq:12.19 tex:30704 mv:7038 misc:1354 imb:3 pmb:894 smb:2703 d:- ref:0 ;
in:53 out:55 type:b dur:2 cpbdur:2 q:17.60 aq:13.37 tex:15483 mv:4192 misc:1525 imb:2 pmb:618 smb:2980 d:- ref:0 ;
in:55 out:56 type:b dur:2 cpbdur:2 q:17.89 aq:14.27 tex:13462 mv:4111 misc:1611 imb:1 pmb:598 smb:3001 d:- ref:0 ;
in:60 out:57 type:P dur:2 cpbdur:2 q:18.50 aq:8.68 tex:276677 mv:6769 misc:570 imb:96 pmb:1103 smb:2401 d:- ref:0 ;
in:58 out:58 type:B dur:2 cpbdur:2 q:18.27 aq:12.64 tex:27360 mv:6940 misc:1476 imb:5 pmb:863 smb:2732 d:- ref:0 ;
in:57 out:59 type:b dur:2 cpbdur:2 q:18.15 aq:15.01 tex:13675 mv:3796 misc:1609 imb:1 pmb:602 smb:2997 d:- ref:0 ;
